Specie,Abrev,A_1,B_10_3,C_10_6,D_10_m5
Methane,C1,1.702,9.081,-2.164,0
Ethane,C2,1.131,19.225,-5.561,0
Propane,C3,1.213,28.758,-8.824,0
n-Butane,nC4,1.935,36.915,-11.402,0
n-Pentane,nC5,2.464,45.351,-14.111,0
n-Hexane,nC6,3.025,53.722,-16.791,0
n-Heptane,nC7,3.57,62.127,-19.486,0
n-Octane,nC8,4.108,70.567,-22.208,0
n-Nonane,nC9,,,,
n-Decane,nC10,,,,
Isobutane,iC4,,,,
Isooctane,iC8,,,,
Cyclopentane,cC5,,,,
Cyclohexane,cC6,,,,
Methylcyclopentane,,,,,
Methylcyclohexane,,,,,
Ethylene,,,,,
Propylene,,,,,
1-Butene,,,,,
cis-2-Butene,,,,,
trans-2-Butene,,,,,
1-Hexene,,,,,
Isobutylene,,,,,
1.3-Butadiene,,,,,
Cyclohexene,,,,,
Acetylene,,,,,
Benzene,BEN,,,,
Toluene,TOL,,,,
Ethylbenzene,,,,,
Cumene,,,,,
o-Xylene,,,,,
m-Xylene,,,,,
p-Xylene,,,,,
Styrene,,,,,
Naphthalene,,,,,
Biphenyl,,,,,
Formaldehyde,,,,,
Acetaldehyde,,,,,
Methyl_acetate,,,,,
Ethyl_acetate,,,,,
Acetone,,,,,
Methyl_ethyl_ketone,,,,,
Diethyl_ether,,,,,
Methyl_t-butyl_ether,,,,,
Methanol,,,,,
Ethanol,,,,,
1-Propanol,,,,,
1-Butanol,,,,,
1-Hexanol,,,,,
2-Propanol,,,,,
Phenol,,,,,
Ethylene_glycol,,,,,
Acetic_acid,,,,,
n-Butyric_acid,,,,,
Benzoic_acid,,,,,
Acetonitrile,,,,,
Methylamine,,,,,
Ethylamine,,,,,
Nitromethane,,,,,
Carbon_tetrachloride,,,,,
Chloroform,,,,,
Dichloromethane,,,,,
Methyl_chloride,,,,,
Ethyl_chloride,,,,,
Chlorobenzene,,,,,
Tetrafluoroethane,,,,,
Argon,,,,,
Krypton,,,,,
Xenon,,,,,
Helium_4,,,,,
Hydrogen,H2,3.249,0.422,0,0.083
Oxygen,O2,3.639,0.506,0,-0.227
Nitrogen,N2,3.28,0.593,0,0.04
Air,AIR,3.355,0.575,0,-0.016
Chlorine,,,,,
Carbon_monoxide,CO,3.376,0.557,0,-0.031
Carbon_dioxide,CO2,5.457,1.045,0,-1.157
Carbon_disulfide,,,,,
Hydrogen_sulfide,H2S,3.931,1.49,0,-0.232
Sulfur_dioxide,SO2,,,,
Sulfur_trioxide,SO3,,,,
Nitric_oxide_(NO),NO,,,,
Nitrous_oxide_(N2O),N2O,,,,
Hydrogen_chloride,,,,,
Hydrogen_cyanide,,,,,
Water,H2O,3.47,1.45,0,0.121
Ammonia,NH3,,,,
Nitric_acid,,,,,
Sulfuric_acid,,,,,
Isopentane,iC5,,,,
C7pseud,,,,,
