Specie,Abrev,A,B,C,D,E,F
Methane,C1,-12.98,2.36459,-2.13E-03,5.66E-06,-3.72E-09,8.61E-13
Ethane,C2,-1.77E+00,1.14E+00,-3.24E-04,4.24E-06,-3.39E-09,8.82E-13
Propane,C3,3.95E+01,3.95E-01,2.11E-03,3.96E-07,-6.67E-10,1.68E-13
n-Butane,nC4,6.77E+01,8.54E-03,3.28E-03,-1.11E-06,1.77E-10,-6.40E-15
n-Pentane,nC5,6.32E+01,-1.17E-02,3.32E-03,-1.17E-06,2.00E-10,-8.66E-15
n-Hexane,nC6,7.45E+01,-9.67E-02,3.48E-03,-1.32E-06,2.52E-10,-1.35E-14
n-Heptane,nC7,7.14E+01,-9.69E-02,3.47E-03,-1.33E-06,2.56E-10,-1.38E-14
n-Octane,nC8,1.27E+02,-2.70E-01,4.00E-03,-1.97E-06,6.23E-10,-9.38E-14
n-Nonane,nC9,,,,,,
n-Decane,nC10,,,,,,
Isobutane,iC4,,,,,,
Isooctane,iC8,,,,,,
Cyclopentane,cC5,,,,,,
Cyclohexane,cC6,,,,,,
Methylcyclopentane,,,,,,,
Methylcyclohexane,,,,,,,
Ethylene,,,,,,,
Propylene,,,,,,,
1-Butene,,,,,,,
cis-2-Butene,,,,,,,
trans-2-Butene,,,,,,,
1-Hexene,,,,,,,
Isobutylene,,,,,,,
1.3-Butadiene,,,,,,,
Cyclohexene,,,,,,,
Acetylene,,,,,,,
Benzene,BEN,,,,,,
Toluene,TOL,,,,,,
Ethylbenzene,,,,,,,
Cumene,,,,,,,
o-Xylene,,,,,,,
m-Xylene,,,,,,,
p-Xylene,,,,,,,
Styrene,,,,,,,
Naphthalene,,,,,,,
Biphenyl,,,,,,,
Formaldehyde,,,,,,,
Acetaldehyde,,,,,,,
Methyl_acetate,,,,,,,
Ethyl_acetate,,,,,,,
Acetone,,,,,,,
Methyl_ethyl_ketone,,,,,,,
Diethyl_ether,,,,,,,
Methyl_t-butyl_ether,,,,,,,
Methanol,,,,,,,
Ethanol,,,,,,,
1-Propanol,,,,,,,
1-Butanol,,,,,,,
1-Hexanol,,,,,,,
2-Propanol,,,,,,,
Phenol,,,,,,,
Ethylene_glycol,,,,,,,
Acetic_acid,,,,,,,
n-Butyric_acid,,,,,,,
Benzoic_acid,,,,,,,
Acetonitrile,,,,,,,
Methylamine,,,,,,,
Ethylamine,,,,,,,
Nitromethane,,,,,,,
Carbon_tetrachloride,,,,,,,
Chloroform,,,,,,,
Dichloromethane,,,,,,,
Methyl_chloride,,,,,,,
Ethyl_chloride,,,,,,,
Chlorobenzene,,,,,,,
Tetrafluoroethane,,,,,,,
Argon,,,,,,,
Krypton,,,,,,,
Xenon,,,,,,,
Helium_4,,,,,,,
Hydrogen,H2,,,,,,
Oxygen,O2,,,,,,
Nitrogen,N2,2.888634,0.9827466,9.71E-05,-4.16E-10,-3.66E-12,4.05E-16
Air,AIR,,,,,,
Chlorine,,,,,,,
Carbon_monoxide,CO,,,,,,
Carbon_dioxide,CO2,1.25E-09,0.618139,4.84E-04,-1.49E-07,2.29E-11,-1.37E-15
Carbon_disulfide,,,,,,,
Hydrogen_sulfide,H2S,,,,,,
Sulfur_dioxide,SO2,,,,,,
Sulfur_trioxide,SO3,,,,,,
Nitric_oxide_(NO),NO,,,,,,
Nitrous_oxide_(N2O),N2O,,,,,,
Hydrogen_chloride,,,,,,,
Hydrogen_cyanide,,,,,,,
Water,H2O,-5.73E+00,1.91E+00,-3.96E-04,8.76E-07,-4.95E-10,1.04E-13
Ammonia,NH3,,,,,,
Nitric_acid,,,,,,,
Sulfuric_acid,,,,,,,
Isopentane,iC5,,,,,,
C7pseud,,,,,,,
,,,,,,,
